"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Arkansas"	"05"	"2004"	"2004"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	292
	"Arkansas"	"05"	"2005"	"2005"	"Married"	"1"	"0 -  8 years"	"19176"	960
	"Arkansas"	"05"	"2005"	"2005"	"Married"	"1"	"9 - 11 years"	"19177"	2287
	"Arkansas"	"05"	"2005"	"2005"	"Married"	"1"	"12 years"	"19178"	7521
	"Arkansas"	"05"	"2005"	"2005"	"Married"	"1"	"13 - 15 years"	"19179"	4931
	"Arkansas"	"05"	"2005"	"2005"	"Married"	"1"	"16 years and over"	"16+"	6624
	"Arkansas"	"05"	"2005"	"2005"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	1117
	"Arkansas"	"05"	"2005"	"2005"	"Unmarried"	"2"	"0 -  8 years"	"19176"	911
	"Arkansas"	"05"	"2005"	"2005"	"Unmarried"	"2"	"9 - 11 years"	"19177"	4107
	"Arkansas"	"05"	"2005"	"2005"	"Unmarried"	"2"	"12 years"	"19178"	7028
	"Arkansas"	"05"	"2005"	"2005"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2381
	"Arkansas"	"05"	"2005"	"2005"	"Unmarried"	"2"	"16 years and over"	"16+"	517
	"Arkansas"	"05"	"2005"	"2005"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	824
	"Arkansas"	"05"	"2006"	"2006"	"Married"	"1"	"0 -  8 years"	"19176"	913
	"Arkansas"	"05"	"2006"	"2006"	"Married"	"1"	"9 - 11 years"	"19177"	2154
	"Arkansas"	"05"	"2006"	"2006"	"Married"	"1"	"12 years"	"19178"	7627
	"Arkansas"	"05"	"2006"	"2006"	"Married"	"1"	"13 - 15 years"	"19179"	5159
	"Arkansas"	"05"	"2006"	"2006"	"Married"	"1"	"16 years and over"	"16+"	6820
	"Arkansas"	"05"	"2006"	"2006"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	1174
	"Arkansas"	"05"	"2006"	"2006"	"Unmarried"	"2"	"0 -  8 years"	"19176"	914
	"Arkansas"	"05"	"2006"	"2006"	"Unmarried"	"2"	"9 - 11 years"	"19177"	4450
	"Arkansas"	"05"	"2006"	"2006"	"Unmarried"	"2"	"12 years"	"19178"	7478
	"Arkansas"	"05"	"2006"	"2006"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2712
	"Arkansas"	"05"	"2006"	"2006"	"Unmarried"	"2"	"16 years and over"	"16+"	636
	"Arkansas"	"05"	"2006"	"2006"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	924
	"California"	"06"	"2003"	"2003"	"Married"	"1"	"0 -  8 years"	"19176"	34102
	"California"	"06"	"2003"	"2003"	"Married"	"1"	"9 - 11 years"	"19177"	37856
	"California"	"06"	"2003"	"2003"	"Married"	"1"	"12 years"	"19178"	86947
	"California"	"06"	"2003"	"2003"	"Married"	"1"	"13 - 15 years"	"19179"	74509
	"California"	"06"	"2003"	"2003"	"Married"	"1"	"16 years and over"	"16+"	118636
	"California"	"06"	"2003"	"2003"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	7583
	"California"	"06"	"2003"	"2003"	"Unmarried"	"2"	"0 -  8 years"	"19176"	24616
	"California"	"06"	"2003"	"2003"	"Unmarried"	"2"	"9 - 11 years"	"19177"	51840
	"California"	"06"	"2003"	"2003"	"Unmarried"	"2"	"12 years"	"19178"	62938
	"California"	"06"	"2003"	"2003"	"Unmarried"	"2"	"13 - 15 years"	"19179"	27748
	"California"	"06"	"2003"	"2003"	"Unmarried"	"2"	"16 years and over"	"16+"	8978
	"California"	"06"	"2003"	"2003"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	5244
	"California"	"06"	"2004"	"2004"	"Married"	"1"	"0 -  8 years"	"19176"	32984
	"California"	"06"	"2004"	"2004"	"Married"	"1"	"9 - 11 years"	"19177"	37276
	"California"	"06"	"2004"	"2004"	"Married"	"1"	"12 years"	"19178"	84492
	"California"	"06"	"2004"	"2004"	"Married"	"1"	"13 - 15 years"	"19179"	72421
	"California"	"06"	"2004"	"2004"	"Married"	"1"	"16 years and over"	"16+"	120533
	"California"	"06"	"2004"	"2004"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	9555
	"California"	"06"	"2004"	"2004"	"Unmarried"	"2"	"0 -  8 years"	"19176"	24925
	"California"	"06"	"2004"	"2004"	"Unmarried"	"2"	"9 - 11 years"	"19177"	53372
	"California"	"06"	"2004"	"2004"	"Unmarried"	"2"	"12 years"	"19178"	65097
	"California"	"06"	"2004"	"2004"	"Unmarried"	"2"	"13 - 15 years"	"19179"	28513
	"California"	"06"	"2004"	"2004"	"Unmarried"	"2"	"16 years and over"	"16+"	9542
	"California"	"06"	"2004"	"2004"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	6133
	"California"	"06"	"2005"	"2005"	"Married"	"1"	"0 -  8 years"	"19176"	32105
	"California"	"06"	"2005"	"2005"	"Married"	"1"	"9 - 11 years"	"19177"	36344
	"California"	"06"	"2005"	"2005"	"Married"	"1"	"12 years"	"19178"	82795
	"California"	"06"	"2005"	"2005"	"Married"	"1"	"13 - 15 years"	"19179"	71342
	"California"	"06"	"2005"	"2005"	"Married"	"1"	"16 years and over"	"16+"	120870
	"California"	"06"	"2005"	"2005"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	9444
	"California"	"06"	"2005"	"2005"	"Unmarried"	"2"	"0 -  8 years"	"19176"	25824
	"California"	"06"	"2005"	"2005"	"Unmarried"	"2"	"9 - 11 years"	"19177"	55255
	"California"	"06"	"2005"	"2005"	"Unmarried"	"2"	"12 years"	"19178"	68434
	"California"	"06"	"2005"	"2005"	"Unmarried"	"2"	"13 - 15 years"	"19179"	30501
	"California"	"06"	"2005"	"2005"	"Unmarried"	"2"	"16 years and over"	"16+"	9981
	"California"	"06"	"2005"	"2005"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	5987
	"California"	"06"	"2006"	"2006"	"Married"	"1"	"Excluded"	"999"	350939
	"California"	"06"	"2006"	"2006"	"Unmarried"	"2"	"Excluded"	"999"	211501
	"Colorado"	"08"	"2003"	"2003"	"Married"	"1"	"0 -  8 years"	"19176"	2935
	"Colorado"	"08"	"2003"	"2003"	"Married"	"1"	"9 - 11 years"	"19177"	4811
	"Colorado"	"08"	"2003"	"2003"	"Married"	"1"	"12 years"	"19178"	12382
	"Colorado"	"08"	"2003"	"2003"	"Married"	"1"	"13 - 15 years"	"19179"	10150
	"Colorado"	"08"	"2003"	"2003"	"Married"	"1"	"16 years and over"	"16+"	20192
	"Colorado"	"08"	"2003"	"2003"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	350
	"Colorado"	"08"	"2003"	"2003"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1773
	"Colorado"	"08"	"2003"	"2003"	"Unmarried"	"2"	"9 - 11 years"	"19177"	5878
	"Colorado"	"08"	"2003"	"2003"	"Unmarried"	"2"	"12 years"	"19178"	6992
	"Colorado"	"08"	"2003"	"2003"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2605
	"Colorado"	"08"	"2003"	"2003"	"Unmarried"	"2"	"16 years and over"	"16+"	1031
	"Colorado"	"08"	"2003"	"2003"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	240
	"Colorado"	"08"	"2004"	"2004"	"Married"	"1"	"0 -  8 years"	"19176"	2864
	"Colorado"	"08"	"2004"	"2004"	"Married"	"1"	"9 - 11 years"	"19177"	4905
	"Colorado"	"08"	"2004"	"2004"	"Married"	"1"	"12 years"	"19178"	11709
	"Colorado"	"08"	"2004"	"2004"	"Married"	"1"	"13 - 15 years"	"19179"	9494
	"Colorado"	"08"	"2004"	"2004"	"Married"	"1"	"16 years and over"	"16+"	20292
	"Colorado"	"08"	"2004"	"2004"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	402
	"Colorado"	"08"	"2004"	"2004"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1676
	"Colorado"	"08"	"2004"	"2004"	"Unmarried"	"2"	"9 - 11 years"	"19177"	6025
	"Colorado"	"08"	"2004"	"2004"	"Unmarried"	"2"	"12 years"	"19178"	6988
	"Colorado"	"08"	"2004"	"2004"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2773
	"Colorado"	"08"	"2004"	"2004"	"Unmarried"	"2"	"16 years and over"	"16+"	1050
	"Colorado"	"08"	"2004"	"2004"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	325
	"Colorado"	"08"	"2005"	"2005"	"Married"	"1"	"0 -  8 years"	"19176"	2829
	"Colorado"	"08"	"2005"	"2005"	"Married"	"1"	"9 - 11 years"	"19177"	4775
	"Colorado"	"08"	"2005"	"2005"	"Married"	"1"	"12 years"	"19178"	11912
	"Colorado"	"08"	"2005"	"2005"	"Married"	"1"	"13 - 15 years"	"19179"	9403
	"Colorado"	"08"	"2005"	"2005"	"Married"	"1"	"16 years and over"	"16+"	20572
